,title,link,date,content,is_fake
0,NIK KTP DKI Jakarta akan dinonatifkan permanen pada 1 Juni,https://www.antaranews.com/berita/4129155/hoaks-nik-ktp-dki-jakarta-akan-dinonatifkan-permanen-pada-1-juni,,"– Sebuah unggahan di Facebook mengimbau kepada warga pemegang KTP DKI Jakarta untuk mengecek NIK nya sebelum dinonaktifkan permanen pada 1 Juni 2024.

Berikut narasi dalam unggahan tersebut:
“Bapak Ibu warga Jakarta, mohon luangkan waktu sejenak untuk mengecek NIK KTP, sebelum di-nonaktifkan permanen per 1 Juni 2024 jika terdaftar dalam penataan dan penertiban. 
Sekilas info penertiban NIK DKI Jakarta.
1. Masuk website dukcapil https://datawarga-dukcapil.jakarta.go.id/
2. Masukkan NIK dan captha sesuai gambar
3. Lihat hasil yang muncul
4. Apabila muncul *tidak terdaftar dalam penataan dan penertiban* maka NIK tidak ada masalah, tidak perlu lakukan apapun
5. Jika muncul hasil *terdaftar dalam penataan dan penertiban* maka perlu diurus ke kelurahan karena akan dinonaktifkan permanen per 1 Juni 2024.”

Namun, benarkah NIK KTP DKI Jakarta akan dinonaktifkan permanen pada 1 Juni?

 

Unggahan yang menarasikan NIK KTP DKI Jakarta akan dinonatifkan permanen pada 1 Juni. Faktanya, dukcapil DKI Jakarta menyatakan klaim tersebut hoaks. (Facebook)

Penjelasan:

Dilansir dari Instagram resmi duckapil Jakarta, klaim NIK akan dinonaktifkan permanen per tanggal 1 Juni 2024 jika terdaftar dalam penataan dan peneriban dokumen kependudukan sesuai domisili adalah hoaks.

Dinas Dukcapil Provinsi DKI Jakarta menginformasikan bahwa : 
1. NIK yang masuk pada Data Warga masih aktif (baru usulan untuk dinonaktifkan) 
2. Sampai dengan saat ini Disdukcapil DKI baru mengusulkan penonaktifan NIK ke Kemendagri untuk kategori 'Yang sdh meninggal' dan 'RT/RW sudah tidak ada'
3. Bahwa penonaktifan NIK akan dilakukan secara bertahap dan bukan dilakukan serentak. 
4. Bagi warga yg masuk ke usulan penonaktifan namun sudah mengurus perpindahan atau sudah melapor ke Kelurahan dengan hasil verifikasi lapangan yang menguatkan, tidak perlu khawatir karena meskipun NIK nya masih terdaftar di Data Warga, tidak akan diajukan penonaktifan. 
5. Penonaktifan tidak dilakukan permanen karena terdapat mekanisme pengaktifan kembali.

Dilansir dari ANTARA, Dinas Kependudukan dan Pencatatan Sipil (Dukcapil) DKI Jakarta mengungkapkan bahwa sebanyak 238.410 warga telah melakukan pemindahan administrasi kependudukan sesuai domisilinya saat ini.

Pemindahan administrasi kependudukan sesuai domisili ini menyusul adanya program penataan dan penertiban administrasi penduduk (adminduk) yang dapat berujung penonaktifan 

Nomor Induk Kependudukan (NIK) warga yang tidak sesuai domisili seperti tertera di KTP.

Budi menuturkan program penataan administrasi kependudukan masih menjadi prioritas Dinas Dukcapil demi ketertiban administrasi penduduk, mengurangi potensi kerugian daerah serta potensi penyalahgunaan dokumen kependudukan.
Klaim: NIK KTP DKI Jakarta akan dinonatifkan permanen pada 1 Juni
Rating: Hoaks

Baca juga: Bawaslu Jaksel pastikan video viral di Pejaten Timur hoaks

Cek fakta: Hoaks! Anies Baswedan larang ucapkan selamat natal saat jadi Gubernur DKI Jakarta

Cek fakta: Hoaks! Berita Pemprov DKI habiskan Rp90,45 miliar untuk bayar buzzerPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
1,"Kominfo, Raffi Ahmad hingga Rudy Salim ajukan pelegalan judi online",https://www.antaranews.com/berita/4125624/hoaks-kominfo-raffi-ahmad-hingga-rudy-salim-ajukan-pelegalan-judi-online,,"– Sebuah unggahan video menarasikan sejumlah pengusaha seperti Raffi Ahmad dan Rudy Salim bersama Kementerian Komunikasi dan Informatika (Kominfo) mengajukan pelegalan judi online.

Berikut narasi dalam unggahan tersebut:
“Rudy Salim, Raffi Ahmad bikin Proyek Baru Legalisasi Judi Online, jaman mulai kiamat”

Namun, benarkah Kominfo, Raffi Ahmad hingga Rudy Salim ajukan pelegalan judi online?

 

Unggahan video yang menarasikan Kominfo, Raffi Ahmad hingga Rudy Salim ajukan pelegalan judi online. Faktanya, isi video dengan narasi judul tidak sesuai. (Facebook)

Penjelasan:

Berdasarkan penelusuran, video tersebut serupa dengan unggahan YouTube Prestige Productions yang berjudul “RUDY SALIM GANDENG RAFFI AHMAD BUAT BISNIS BARU! BIKIN APA LAGI NIH DUO SULTAN??!!” pada 19 Agustus 2023. Dalam video tersebut, tidak ada penjelasan proyek pelegalan judi online bersama Kominfo.

Dilansir dari laman Kominfo, Menteri Komunikasi dan Informatika Budi Arie Setiadi menegaskan prioritas utama pemerintah adalah melindungi rakyat kecil dari jerat judi online. Oleh karena itu, Kementerian Kominfo melakukan pemutusan akses terhadap situs-situs judi online.

Menurut Menkominfo, upaya memberantas judi online menghadapi tantangan yang berat karena banyak pelaku atau bandar judi online bersembunyi di luar Indonesia. Menteri Budi mengungkap bandar judi online juga semakin kreatif dengan selalu membuat situs baru dan melakukan peretasan pada situs-situs pemerintah.

Oleh karena itu, pemerintah sedang berupaya untuk berkomunikasi dengan negara-negara tetangga yang melegalkan perjudian agar mencegah perjudian di negara mereka tidak masuk ke Indonesia.
Klaim: Kominfo, Raffi Ahmad hingga Rudy Salim ajukan pelegalan judi online
Rating: Hoaks

Cek fakta: Hoaks! Raffi Ahmad, Atta Halilintar dan Gus Miftah dilaporkan atas kasus korupsi Rp3.000 triliun

Cek fakta: Hoaks! Video penangkapan Raffi Ahmad karena keterlibatan dalam kasus korupsi Rp271 triliun

Baca juga: Platform yang membiarkan peredaran konten judi online akan didendaPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
2,Presiden Iran selamat dari kecelakaan helikopter,https://www.antaranews.com/berita/4123608/hoaks-presiden-iran-selamat-dari-kecelakaan-helikopter,,"– Presiden Iran Ebrahim Raisi dinyatakan meninggal dunia usai helikopter yang mengangkutnya bersama delapan pejabat lain jatuh di Provinsi Azerbaijan Timur, utara Iran, Minggu (19/5). 

Selain Presiden Iran, helikopter tersebut juga mengangkut delapan orang lainnya. Beberapa diantaranya Menteri Luar Negeri Iran Hossein Amir Abdollahian, Gubernur Provinsi Azerbaijan Timur Malek Rahmati, dan lainnya.

Sebuah unggahan di X menampilkan foto Presiden Iran keluar dari helikopter dengan narasi Presiden Iran selamat.

Berikut narasi dalam unggahan tersebut:
“Bad news for Zionists..
Iranian President Ebrahim Raisi is safe.”

Namun, benarkah Presiden Iran selamat dari kecelakaan helikopter?

 

Unggahan yang menarasikan presiden Iran selamat dari kecelakaan helikopter. Faktanya, foto tersebut merupakan Presiden Iran Ebrahim Raisi mengunjungi Firuzkuh setelah banjir, pada 30 Juli 2022. (X)

Penjelasan:

Berdasarkan penelusuran, foto tersebut serupa dengan unggahan media Alamy yang menarasikan Presiden Iran Ebrahim Raisi mengunjungi Firuzkuh setelah banjir, Iran, 30 Juli 2022. Menurut Bulan Sabit Merah Iran yang mengutip pejabat setempat, setidaknya 56 orang tewas dan 18 orang hilang dalam banjir di sebagian besar kota di Iran kala itu. 

Video rangkaian upacara pemakaman mendiang Presiden Iran Ebrahim Raisi dan pejabat lainnya, yang tewas dalam kecelakaan helikopter, berlanjut di Qom, Iran Tengah pada Selasa (21/5) dapat dilihat di sini. Ribuan warga berkabung atas Raisi di Kota Suci Muslim Syiah itu sambil membawa foto presiden dan mengibarkan bendera Iran.
Klaim: Presiden Iran selamat dari kecelakaan helikopter
Rating: Hoaks

Baca juga: Iran rilis laporan awal penyelidikan jatuhnya helikopter presiden

Baca juga: Menlu RI sampaikan duka cita mendalam atas berpulangnya Presiden Raisi

Cek fakta: Hoaks! Video dalam pesawat turbulensi Singapore airlines 21 MeiPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
3,RS Sri Ratu Medan tutup pascaviral,https://www.antaranews.com/berita/4122069/hoaks-rs-sri-ratu-medan-tutup-pascaviral,,"– Kasus viral di media sosial TikToker asal Medan Aleh mendapat perlakuan kurang menyenangkan saat membawa pasien dengan gangguan jiwa berobat ke Rumah Sakit Sri Ratu Medan.

Bidan di Rumah Sakit Sri Ratu Medan malah menjawab ketus dan langsung mempertanyakan siapa yang akan membayar biaya berobat, meski pasien belum diobati.

Buntut dari kasus tersebut, beredar video di TikTok yang menarasikan bahwa Rumah Sakit Sri Ratu Medan ditutup. 

Berikut narasi dalam unggahan tersebut:
“RS SRI RATU MEDAN RESMI DITUTUP SAMPAI SEMUANYA SUDAH REDA SITUASI KEMBALI MENJADI SEMULA KITA MULAI DARI 0 LAGI, UNTUK SEMUA NYA, KAMI STAF” KARYAWAN RS MINTA MAAF ATAS KEJADIAN WAKTU ITU KAMI JUGA SUDAH MEMECAT BIDAN MELVI”

Namun, benarkah RS Sri Ratu Medan tutup buntut kasus bidan viral?

 

Unggahan yang menarasikan RS Sri Ratu Medan tutup buntut kasus viral bidan. Faktanya, RS Sri Ratu Medan menegaskan pernyataan tersebut hoaks. (TikTok)

Penjelasan:

Dilansir dari akun Instagram resmi RS Sri Ratu, video yang menarasikan rumah sakit ditutup merupakan keliru. Hingga saat ini, Rumah Sakit Umum Sri Ratu Medan tetap melayani pasien.

Selain itu, diketahui bidan Melvi juga telah dipecat karena melanggar etika komunikasi, standar pelayanan yang dapat mencoreng reputasi institusi dan menimbulkan dampak negatif terhadap citra dan reputasi rumah sakit.
Klaim: Buntut viral perawat, RS Sri Ratu Medan tutup 
Rating: Hoaks

Cek fakta: Hoaks! Video tepung gorengan campur narkoba

Cek fakta: Hoaks! Video dalam pesawat turbulensi Singapore airlines 21 Mei

Baca juga: Meningkatkan mutu layanan BPJS Kesehatan melalui KRISPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
4,Video tepung gorengan campur narkoba,https://www.antaranews.com/berita/4119549/hoaks-video-tepung-gorengan-campur-narkoba,,"- Beredar video pada platform Instagram yang menarasikan gorengan yang dicampur dengan bubuk narkoba.

Dalam video yang diunggah tersebut, terlihat pihak kepolisian melakukan penggrebekan terhadap satu rumah yang di dalamnya terdapat mesin yang digunakan untuk membuat narkoba dan juga gorengan yang sudah dicampur dengan narkoba.
“Modus baru, gorengan dicampur bubuk narkoba,” tulis akun tersebut.

Tangkapan layar video tepung gorengan dicampur narkoba (ANTARA/HO- Instagram)


Namun, benarkah adanya gorengan yang dicampur bubuk narkoba?
 

Humas Polda Metro Jaya Kombes Pol Ade Ary Syam Indradi memastikan bahwa video tersebut merupakan hasil pengeditan saat pihak Ditresnarkoba melakukan penggerebekan kasus narkoba di Kawasan Sentul, Bogor, Ahad (28/4/2024).

Video yang disebut-sebut merupakan gorengan atau tepung yang mengandung narkoba, merupakan video pengungkapan Clandestine Laboratory penghasil Pinaca atau Cannabinoid.

Mantan Kapolres Metro Jakarta Selatan itu membantah adanya adonan tepung yang dicampur dengan narkoba seperti yang beredar dalam video tersebut.

""Tepung yang disebut mengandung narkoba, merupakan salah satu serbuk kimia yang menjadi bahan pembuatan Pinaca, yang merupakan bahan utama pembuatan tembakau sintetis, "" jelasnya.

Ade Ary juga menambahkan Kapolda Metro Jaya Irjen Pol Karyoto senantiasa mengingatkan ke jajaran untuk berkomitmen memberantas narkoba tanpa pandang bulu dan meningkatkan edukasi kepada masyarakat.
Klaim : Video tepung gorengan campur narkoba
Rating : Hoaks
Cek fakta: Hoaks! Video Verrell Bramasta ditangkap terkait kasus narkoba

Cek fakta: Hoaks! Salak berisi sabu dari China beredar di Indonesia

Baca juga: Polisi periksa pria seludupkan ganja dalam roti tawar di Rutan Medan

 Pewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
5,Video dalam pesawat turbulensi Singapore airlines 21 Mei,https://www.antaranews.com/berita/4116267/hoaks-video-dalam-pesawat-turbulensi-singapore-airlines-21-mei,,"– Sebuah unggahan video beredar di media sosial X menarasikan kondisi dalam pesawat Singapore Airlines yang mengalami turbulensi pada 21 Mei 2024.

Diketahui, pesawat Singapore Airlines penerbangan London-Singapura mengalami turbulensi parah pada Selasa (21/5/2024). Akibat insiden tersebut sampai menyebabkan satu penumpang tewas.

Berikut narasi dalam unggahan tersebut:
“Singapore Airlines Boeing 777 flight from London to Singapore hit by severe turbulence, one dead, multiple injured. Plane plunged over 6000 feet in seconds!!”

Berikut terjemahan narasi tersebut:
“Penerbangan Singapore Airlines Boeing 777 dari London menuju Singapura dilanda turbulensi parah, satu tewas, beberapa luka-luka. Pesawat jatuh lebih dari 6000 kaki dalam hitungan detik!!”

Namun, benarkah video tersebut merupakan kejadian dalam pesawat Singapore Airlines pada 21 Mei?
 

Unggahan video yang menarasikan video dalam pesawat turbulensi Singapore airlines 21 Mei. Faktanya, turbulensi itu terjadi pada penerbangan dari Pristina, Kosovo, menuju Basel, Swiss, pada Minggu (16/6/2019). (X)

Penjelasan:

Berdasarkan penelusuran ANTARA, video tersebut serupa dengan unggahan YouTube Tribun Jambi yang berjudul “Detik-detik Video Mengerikan Turbulensi, Badan Pramugari Terlempar Membentur Langit-langit Pesawat”.

Video amatir berdurasi 30 detik kiriman penumpang pesawat merekam hal mengerikan terjadi saat penerbangan. Melansir abcnews.go.com, video itu berisi rekaman turbulensi mengerikan yang melemparkan pramugari dan kereta dorong minumannya ke langit-langit pesawat. Turbulensi itu terjadi pada penerbangan dari Pristina, Kosovo, menuju Basel, Swiss, pada Minggu (16/6/2019).
Klaim: Video dalam pesawat turbulensi Singapore airlines 21 Mei
Rating: Hoaks

Cek fakta: Hoaks! Video Gibran resmi mendapatkan gelar ""gus""

Cek fakta: Hoaks! Video erupsi Gunung Merapi pada 18 April

Baca juga: Kemlu: Tidak ada WNI terdampak turbulensi pesawat Singapore AirlinesPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
6,Rekaman suara Sri Mulyani marahi pegawai Bea Cukai,https://www.antaranews.com/berita/4114323/hoaks-rekaman-suara-sri-mulyani-marahi-pegawai-bea-cukai,,"– Sebuah unggahan video di X menampilkan rekaman suara yang diklaim sebagai suara Menteri Keuangan Sri Mulyani yang sedang memarahi pertugas Bea Cukai atas viralnya kasus seorang tenaga kerja wanita (TKW) mengirimkan celana dalam seharga Rp140.000 dari Hongkong. Sesampainya di Indonesia, barang tersebut dikenakan bea masuk sebesar Rp800.000.

Berikut narasi dalam video tersebut:
“VIRAL SRI MUYANI NGAMUK KE BEA CUKAI GARA-GARA CELANA DALAM”

Namun, benarkah rekaman suara Sri Mulyani marahi pegawai bea cukai tersebut?

 

Unggahan yang mengklaim video rekaman suara Sri Mulyani memarahi petugas bea cukai. Faktanya, rekaman suara tersebut merupakan curhatan tenaga kerja wanita diakun YouTubenya. (X)

Penjelasan:

Berdasarkan penelusuran, rekaman suara tersebut serupa dengan unggahan video YouTube Yuni TKW Hong Kong@CURHATAN BMI berjudul “Bea Cukai Surabaya,Harga celana dalam 70 HKD kena pajak 800 Ribu dari kantor Juanda,Piye to Iki ?”.

Dalam video tersebut, Yuni mengeluhkan kekesalannya terhadap pihak Direktorat Jenderal Bea dan Cukai (DJBC) Banyuwangi. Ia menjelaskan membeli barang seharga Rp140.000 dari Hongkong, kemudian dikirimkan ke Indonesia dan dikenakan pajak bea masuk sebesar Rp800.000. 

Staf Khusus Menteri Keuangan, Yustinus Prastowo, dalam akun media sosialnya menyatakan permasalahan itu telah diselesaikan dengan baik. Bea Cukai Juanda dan pihak PT Pos Indonesia sudah berkomunikasi dengan Yuni dan penerima barang.
Klaim: Rekaman suara Sri Mulyani marahi pegawai bea cukai
Rating: Hoaks

Cek fakta: Hoaks! Video Sri Mulyani jelaskan utang negara pada sidang MK

Cek fakta: Hoaks! BI keluarkan uang kertas emisi terbaru bergambar Sri Mulyani

Baca juga: Sri Mulyani laporkan kepada Presiden sorotan publik terhadap Bea CukaiPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
7,NIK KTP DKI Jakarta akan dinonatifkan permanen pada 1 Juni,https://www.antaranews.com/berita/4129155/hoaks-nik-ktp-dki-jakarta-akan-dinonatifkan-permanen-pada-1-juni?utm_source=antaranews&utm_medium=desktop&utm_campaign=popular_right,,"– Sebuah unggahan di Facebook mengimbau kepada warga pemegang KTP DKI Jakarta untuk mengecek NIK nya sebelum dinonaktifkan permanen pada 1 Juni 2024.

Berikut narasi dalam unggahan tersebut:
“Bapak Ibu warga Jakarta, mohon luangkan waktu sejenak untuk mengecek NIK KTP, sebelum di-nonaktifkan permanen per 1 Juni 2024 jika terdaftar dalam penataan dan penertiban. 
Sekilas info penertiban NIK DKI Jakarta.
1. Masuk website dukcapil https://datawarga-dukcapil.jakarta.go.id/
2. Masukkan NIK dan captha sesuai gambar
3. Lihat hasil yang muncul
4. Apabila muncul *tidak terdaftar dalam penataan dan penertiban* maka NIK tidak ada masalah, tidak perlu lakukan apapun
5. Jika muncul hasil *terdaftar dalam penataan dan penertiban* maka perlu diurus ke kelurahan karena akan dinonaktifkan permanen per 1 Juni 2024.”

Namun, benarkah NIK KTP DKI Jakarta akan dinonaktifkan permanen pada 1 Juni?

 

Unggahan yang menarasikan NIK KTP DKI Jakarta akan dinonatifkan permanen pada 1 Juni. Faktanya, dukcapil DKI Jakarta menyatakan klaim tersebut hoaks. (Facebook)

Penjelasan:

Dilansir dari Instagram resmi duckapil Jakarta, klaim NIK akan dinonaktifkan permanen per tanggal 1 Juni 2024 jika terdaftar dalam penataan dan peneriban dokumen kependudukan sesuai domisili adalah hoaks.

Dinas Dukcapil Provinsi DKI Jakarta menginformasikan bahwa : 
1. NIK yang masuk pada Data Warga masih aktif (baru usulan untuk dinonaktifkan) 
2. Sampai dengan saat ini Disdukcapil DKI baru mengusulkan penonaktifan NIK ke Kemendagri untuk kategori 'Yang sdh meninggal' dan 'RT/RW sudah tidak ada'
3. Bahwa penonaktifan NIK akan dilakukan secara bertahap dan bukan dilakukan serentak. 
4. Bagi warga yg masuk ke usulan penonaktifan namun sudah mengurus perpindahan atau sudah melapor ke Kelurahan dengan hasil verifikasi lapangan yang menguatkan, tidak perlu khawatir karena meskipun NIK nya masih terdaftar di Data Warga, tidak akan diajukan penonaktifan. 
5. Penonaktifan tidak dilakukan permanen karena terdapat mekanisme pengaktifan kembali.

Dilansir dari ANTARA, Dinas Kependudukan dan Pencatatan Sipil (Dukcapil) DKI Jakarta mengungkapkan bahwa sebanyak 238.410 warga telah melakukan pemindahan administrasi kependudukan sesuai domisilinya saat ini.

Pemindahan administrasi kependudukan sesuai domisili ini menyusul adanya program penataan dan penertiban administrasi penduduk (adminduk) yang dapat berujung penonaktifan 

Nomor Induk Kependudukan (NIK) warga yang tidak sesuai domisili seperti tertera di KTP.

Budi menuturkan program penataan administrasi kependudukan masih menjadi prioritas Dinas Dukcapil demi ketertiban administrasi penduduk, mengurangi potensi kerugian daerah serta potensi penyalahgunaan dokumen kependudukan.
Klaim: NIK KTP DKI Jakarta akan dinonatifkan permanen pada 1 Juni
Rating: Hoaks

Baca juga: Bawaslu Jaksel pastikan video viral di Pejaten Timur hoaks

Cek fakta: Hoaks! Anies Baswedan larang ucapkan selamat natal saat jadi Gubernur DKI Jakarta

Cek fakta: Hoaks! Berita Pemprov DKI habiskan Rp90,45 miliar untuk bayar buzzerPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
8,MPR keluarkan putusan menolak lantik Prabowo-Gibran,https://www.antaranews.com/berita/4112628/hoaks-mpr-keluarkan-putusan-menolak-lantik-prabowo-gibran,,"– Sebuah unggahan video pada 15 Mei di YouTube berdurasi 11 menit menarasikan bahwa MPR mengeluarkan keputusan untuk tidak melantik presiden dan wakil presiden terpilih 2024, Prabowo Subianto dan Gibran Rakabuming Raka. 

Berikut narasi dalam unggahan tersebut:
“DHUAARR J0K0WI PUCAT MPR KELUARKAN PUTUSAN,SEPAKAT UNTUK TIDAK MELANTIK PRABOWO-GIBRAN”

Namun, benarkah MPR keluarkan putusan menolak lantik Prabowo-Gibran?

 

Unggahan video hoaks yang menarasikan MPR keluarkan putusan menolak lantik Prabowo-Gibran. Faktanya, narasi judul tidak sesuai dengan isi video. (YouTube)

Penjelasan:

Ketua MPR Bambang Soesatyo mengatakan pelantikan presiden dan wakil presiden (wapres) terpilih hasil Pemilu 2024 sangat sulit untuk bisa dijegal mengingat aturan di Undang-Undang Dasar (UUD) 1945 yang memuat soal aturan pelantikan presiden dan wapres sudah sangat jelas.

""Jadi tidak ada celah untuk menunda atau membatalkan pelantikan Prabowo-Gibran karena Pemilu sudah selesai, keputusan MK dan ketetapan KPU atas hasil Pilpres sudah jelas,"" kata politisi yang akrab disapa Bamsoet, dilansirangan presiden dan wakil presiden terpilih yang sudah ditetapkan oleh Ketetapan KPU harus diperkuat dengan produk hukum konstitusi berupa Ketetapan (TAP) MPR RI.

""Jadi tidak ada celah untuk menunda atau membatalkan pelantikan Prabowo-Gibran karena Pemilu sudah selesai, keputusan MK dan ketetapan KPU atas hasil Pilpres sudah jelas,"" kata politisi yang akrab disapa Bamsoet, dilansir dari ANTARA.

Untuk itu, menurut dia, MPR tidak sekedar melantik presiden dan wakil presiden hasil pemilu yang ditetapkan KPU, tetapi sebelum pelantikan harus diawali dengan tindakan hukum penetapan dan pengukuhan presiden dan wakil presiden Indonesia untuk masa jabatan lima tahun melalui TAP MPR tanpa proses pengambilan keputusan lagi karena hanya bersifat administratif.

""Presiden dan wakil presiden terpilih yang dipilih langsung oleh rakyat berdasarkan ketetapan KPU tidak bisa dibatalkan oleh MPR. MPR hanya berwenang memperkuatnya dalam bentuk pengukuhan berupa produk hukum konstitusi,"" katanya.

Selain itu, dalam video tersebut tidak ada narasi terkait Keputusan MPR untuk tidak melantik Prabowo-Gibran. Jadi, isi video tidak sesuai dengan keterangan judul.
Klaim: MPR keluarkan putusan menolak lantik Prabowo-Gibran
Rating: Hoaks

Cek fakta: Program makan siang gratis dibatalkan, benarkah?

Cek fakta: Disinformasi! Kasus suap MK muncul ke publik setelah tolak gugatan Anies-Ganjar pada akhir April

Baca juga: Gugatan PDIP ke PTUN tidak menunda pelantikan Prabowo-GibranPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
9,Harvey Moeis dan Sandra dewi dihukum mati atas korupsi Rp271 triliun pada awal Mei,https://www.antaranews.com/berita/4104159/disinformasi-harvey-moeis-dan-sandra-dewi-dihukum-mati-atas-korupsi-rp271-triliun-pada-awal-mei,,"– Sebuah unggahan video di YouTube berdurasi empat menit menarasikan bahwa tersangka kasus korupsi timah yang diperkirakan menelan kerugian negara Rp271 triliun, Harvey Moeis dan istrinya, Sandra Dewi resmi dihukum mati oleh kejaksaan.

Berikut narasi dalam unggahan tersebut:
“Sandra Dewi Dan Harvey Moeis Akhirnya Divonis Hukuman M4ti Atas Korupsi 271 T”

Namun, benarkah Harvey Moeis dan Sandra dewi dihukum mati atas korupsi 271 triliun pada awal Mei?

 

Unggahan yang menarasikan Harvey Moeis dan Sandra dewi dihukum mati atas korupsi 271 triliun pada awal Mei. Faktanya, belum ada informasi resmi terkait hukuman tersangka korupsi PT Timah. (YouTube)

Penjelasan:

Berdasarkan penelusuran ANTARA, Kejaksaan Agung (Kejagung) RI pada 21 April lalu menambah masa tahanan Harvey Moeis hingga 40 hari ke depan, terhitung mulai 16 April-25 Mei 2024. Hingga saat ini, belum ada keputusan terkait hukuman Harvey Moeis dan tersangka lainnya.

Sebelumnya, Penyidik Jaksa Agung Muda Tindak Pidana Khusus (Jampidsus) Kejaksaan Agung melakukan penyitaan aset milik Harvey Moeis, tersangka perkara dugaan tindak pidana korupsi tata niaga timah wilayah Izin Usaha Pertambangan (IUP) PT Timah Tbk tahun 2015 hingga 2022, yakni beberapa mobil mewah seperti Ferrari sport, Rolls Royce, hingga Mercedes-Benz sport, dan lima perusahaan smelter di Bangka Belitung.

Selain itu, thumbnail yang digunakan dalam video tersebut serupa dengan laman artikel DW yang diberi keterangan “Eksekusi mati dengan hukuman gantung di depan umum di Teheran.”. Sehingga foto tersebut tidak berkaitan dengan narasi video.
Klaim: Harvey Moeis dan Sandra dewi dihukum mati atas korupsi 271 triliun pada awal Mei
Rating: Disinformasi

Cek fakta: Disinformasi! Polisi temukan 400 kilogram emas di rumah Sandra Dewi

Cek fakta: Hoaks, informasi lowongan pekerjaan PT Timah

Baca juga: Tekad Kejaksaan Agung menuntaskan kasus megakorupsi timahPewarta: Tim JACXEditor: Indriani								Copyright © ANTARA 2024",1
